content_id,pred_p_correct,q_correct_rate,q_count,gap_to_target
342,0.55320585,0.48427672955974843,159,0.14679414
3,0.5515341,0.40993788819875776,161,0.14846587
3,0.5515341,0.40993788819875776,161,0.14846587
402,0.551064,0.4409937888198758,161,0.14893597
887,0.5455317,0.43636363636363634,165,0.1544683
236,0.5418049,0.49700598802395207,167,0.15819508
236,0.5418049,0.49700598802395207,167,0.15819508
880,0.54035515,0.5,168,0.15964484
662,0.54026467,0.5059523809523809,168,0.15973532
662,0.54026467,0.5059523809523809,168,0.15973532
